URL,Size (Bytes),# of Outlinks,Content Type
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/greg-bagiryan,208044,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/daniel-k-walker,207754,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/corey-a-boock,209570,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/michele-havens,207832,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/story/2022-03-22/record-breaking-m-a-surge-shows-an-emphasis-on-esg,259206,144,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/darnel-j-bentz,208004,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/duane-stullich,208312,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/linda-duncombe,208671,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/simone-lagomarsino,208238,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/story/2022-03-22/digital-currencies-may-change-every-aspect-of-business,256934,145,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/jason-ozur,207667,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/michael-wiener,207918,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/dan-shea,208032,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/steven-a-sugarman,207700,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/story/2022-03-22/growing-investments-to-support-blockchain-technology-market-growth,255764,146,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/sherry-l-cefali,208113,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/richard-alexander-raffetto,208152,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/bryant-riley,207743,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/eugene-newton-dunford,207982,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/marissa-roman-griffith,209590,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/matt-young,208337,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/aaron-thomas-solganick,208162,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/greg-heller,208210,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/carol-alexis-chen,208809,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/rudy-medina,208930,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/scott-minerd,207822,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/jeri-harman,207593,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/story/2022-03-22/one-in-ten-americans-now-invest-in-cryptocurrencies-with-large-numbers-of-young-female-and-bipoc-investors,259484,146,text/html
https://www.latimes.com/recipe/list/grilling-recipes-for-4th-of-july-bbq,364694,191,text/html
https://www.latimes.com/business/la-fi-miracle-mile-luxury-residential-skyscraper-20190529-story.html,291814,165,text/html
https://www.latimes.com/business/technology/story/2023-02-23/column-self-driving-cars-might-worsen-l-a-s-traffic-if-they-can-handle-it-themselves,342992,181,text/html
https://www.latimes.com/california/story/2022-06-19/air-taxi-los-angeles-2028-olympics,330481,178,text/html
https://www.latimes.com/business/story/2021-07-26/what-hipaa-is-and-is-not-a-primer-on-the-healthcare-privacy-law,302276,168,text/html
https://www.latimes.com/business/technology/story/2022-12-08/do-you-need-lifelock-identity-theft-protection,366069,186,text/html
https://www.latimes.com/business/story/2022-12-19/reddit-ama-identity-theft-jessica-roy-highlights,343468,178,text/html
https://www.latimes.com/business/technology/story/2022-10-26/what-to-do-if-you-think-your-identity-has-been-stolen,325036,175,text/html
https://www.latimes.com/business/technology/story/2022-09-06/venmo-zelle-scams-money-sent-by-accident,332347,174,text/html
https://www.latimes.com/politics/story/2021-06-10/katie-hill-revenge-porn-violence-against-women-act,307122,168,text/html
https://www.latimes.com/business/technology/story/2022-05-24/moving-your-drivers-license-from-your-wallet-to-your-phone-privacy-pros-and-cons,363111,186,text/html
https://www.latimes.com/sports/story/2023-09-01/acc-stanford-cal-smu-death-of-pac-12,319908,182,text/html
https://www.latimes.com/sports/usc/story/2023-08-31/usc-ad-jennifer-cohen-washington-coach-chris-petersen,319027,171,text/html
https://www.latimes.com/sports/ucla/story/2023-09-03/ucla-football-vs-coastal-carolina-recap,312143,172,text/html
https://www.latimes.com/sports/story/2023-09-01/stanford-cal-acc-studen-athletes-broken-sports,326884,164,text/html
https://www.latimes.com/sports/usc/story/2023-09-10/week-2-college-football-season,330693,162,text/html
https://www.latimes.com/science/story/2023-05-04/why-is-it-taking-so-long-for-dianne-feinstein-to-recover-from-shingles,317796,195,text/html
https://www.latimes.com/california/story/2023-05-18/a-frail-sen-feinstein-continues-to-vote-as-new-details-emerge-about-her-health,319269,168,text/html
https://www.latimes.com/entertainment-arts/music/story/2023-08-09/robbie-robertson-the-band-dies,361975,174,text/html
https://www.latimes.com/local/obituaries/la-me-passings-20140506-story.html,273413,154,text/html
https://www.latimes.com/entertainment-arts/music/story/2021-08-25/joni-mitchell-musicares-person-of-the-year-2022,327371,176,text/html
